Updated as of January 2026,,,,
Category,Type of Material,Item,Unit,Price
,PVC,Pipe 1/2,lgths.,110
,PVC,"Pipe 1""",lgths.,180
,PVC,"Ball valve 1""",pcs,240
,PVC,Threaded elbow 1/2,pcs,30
,PVC,"Plain elbow 1""x 90 ",pcs,40
,PVC,Plain elbow 1/2 x 90,pcs,30
,PVC,"Plain tee 1""",pcs,40
,PVC,"Bushing or coupling reducer 1"" x 1/2",pcs,40
,PVC,"Coupling 1"" ",pcs,40
,PVC,"Coupling 1/2""",pcs,30
,PVC,"Female adaptor 1""",pcs,40
,PVC,"Male adaptor 1""",pcs,40
,PPR,"Clamp 1""",pcs,20
,PPR,"Clamp 1/2""",pcs,10
,,Solvent Cement 100 cc,ltr,680
,,"ISO Black Pipe 1""  (100m /roll)",roll,"5,780.00"
,Compression,"Ball valve 1"" ",pcs,480
,Compression,"Elbow pipe 1""",roll,170
,Compression,"Tee 1""",pcs,260
,Compression,"Coupling 1"" ",pcs,170
,Compression,"Female adaptor 1""",pcs,110
,Compression,"Male adaptor 1""",pcs,110
,PE Pipe,1/2 SDR or ISO,roll,"7,150.00"
,PE Pipe,1/2 SDR or ISO,mtr,30
